GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GraphHopper Core,com.graphhopper.routing.lm,PerfectApproximator,1,69,1,5,0,13,1,7,0,5
GraphHopper Core,com.graphhopper.routing.lm,LMConfig,30,17,6,0,6,7,6,3,3,3
GraphHopper Core,com.graphhopper.routing.lm,LMPreparationHandler,74,462,12,30,16,102,11,27,0,17
GraphHopper Core,com.graphhopper.routing.lm,LandmarkStorage.new Comparator() {...},0,13,0,0,0,2,0,2,0,2
GraphHopper Core,com.graphhopper.routing.lm,LandmarkStorage.new AbstractAdjustedWeighting() {...},0,28,0,2,0,6,0,4,0,3
GraphHopper Core,com.graphhopper.routing.lm,LMRoutingAlgorithmFactory,50,127,4,6,9,25,3,6,0,4
GraphHopper Core,com.graphhopper.routing.lm,PrepareLandmarks,27,123,2,2,8,32,6,11,4,11
GraphHopper Core,com.graphhopper.routing.lm,LandmarkStorage.LandmarkExplorer,11,188,2,16,2,40,2,16,0,9
GraphHopper Core,com.graphhopper.routing.lm,LMApproximator.new Dijkstra() {...},0,36,0,2,0,6,0,4,0,3
GraphHopper Core,com.graphhopper.routing.lm,LandmarkStorage.LandmarkExplorer.new IntObjectProcedure() {...},0,61,0,2,0,5,0,3,0,2
GraphHopper Core,com.graphhopper.routing.lm,LandmarkStorage.LandmarkExplorer.new IntObjectPredicate() {...},19,38,1,5,4,6,1,4,0,2
GraphHopper Core,com.graphhopper.routing.lm,LandmarkStorage,422,1330,62,124,68,269,54,79,5,35
GraphHopper Core,com.graphhopper.routing.lm,LandmarkSuggestion,119,0,14,0,32,0,11,0,4,0
GraphHopper Core,com.graphhopper.routing.lm,SplitArea,8,40,1,3,1,10,1,4,0,3
GraphHopper Core,com.graphhopper.routing.lm,LMApproximator,9,328,2,22,2,60,2,21,0,11
GraphHopper Core,com.graphhopper.routing,FlexiblePathCalculator,14,152,2,10,2,31,2,12,0,8
GraphHopper Core,com.graphhopper.routing,DirectionResolver.Point,10,40,3,7,1,9,4,5,1,3
GraphHopper Core,com.graphhopper.routing,AlternativeRouteEdgeCH.AlternativeInfo,11,13,0,0,3,5,2,1,2,1
GraphHopper Core,com.graphhopper.routing,AlternativeRouteCH.AlternativeInfo,11,13,0,0,3,5,2,1,2,1
GraphHopper Core,com.graphhopper.routing,Router.LMSolver,9,58,0,4,1,10,0,4,0,2
GraphHopper Core,com.graphhopper.routing,AbstractRoutingAlgorithm,21,109,3,13,4,28,5,15,2,10
GraphHopper Core,com.graphhopper.routing,RoundTripRouting.Result,0,9,0,0,0,3,0,1,0,1
GraphHopper Core,com.graphhopper.routing,DijkstraOneToMany.IntArrayListWithCap,4,3,0,0,1,2,1,1,1,1
GraphHopper Core,com.graphhopper.routing,TestProfiles,3,94,0,0,1,21,1,6,1,6
GraphHopper Core,com.graphhopper.routing,AStar,9,362,4,54,3,72,4,36,0,11
GraphHopper Core,com.graphhopper.routing,InstructionsHelper,3,151,2,34,1,34,3,23,1,7
GraphHopper Core,com.graphhopper.routing,RoundTripRouting.Params,0,43,0,0,0,9,0,2,0,2
GraphHopper Core,com.graphhopper.routing,HeadingResolver,0,75,0,4,0,20,0,5,0,3
GraphHopper Core,com.graphhopper.routing,RouterConfig,4,89,0,0,2,35,1,18,1,18
GraphHopper Core,com.graphhopper.routing,MultiplePointsNotFoundException,9,0,0,0,4,0,2,0,2,0
GraphHopper Core,com.graphhopper.routing,EdgeRestrictions,0,31,0,0,0,11,0,6,0,6
GraphHopper Core,com.graphhopper.routing,AlternativeRoute,21,329,11,25,6,63,10,20,0,12
GraphHopper Core,com.graphhopper.routing,RoundTripRouting,28,220,4,14,7,37,4,9,1,3
GraphHopper Core,com.graphhopper.routing,AlternativeRoute.1.new IntObjectPredicate() {...},0,25,0,2,0,5,0,3,0,2
GraphHopper Core,com.graphhopper.routing,DirectionResolver.AdjacentEdges,0,121,0,14,0,29,0,17,0,10
GraphHopper Core,com.graphhopper.routing,Router.CHSolver,15,113,3,7,3,21,3,7,0,5
GraphHopper Core,com.graphhopper.routing,CHPathCalculator,19,108,3,7,3,25,3,8,0,6
GraphHopper Core,com.graphhopper.routing,DijkstraBidirectionRef,3,24,0,0,1,5,1,4,1,4
GraphHopper Core,com.graphhopper.routing,AbstractNonCHBidirAlgo,36,391,7,59,7,84,9,41,2,15
GraphHopper Core,com.graphhopper.routing,AlternativeRouteEdgeCH.PotentialAlternativeInfo,8,3,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing,InstructionsOutgoingEdges,70,435,20,68,7,80,15,38,0,9
GraphHopper Core,com.graphhopper.routing,AbstractBidirCHAlgo,83,471,22,64,13,101,21,45,5,18
